date,country,affiliate,usd_total,count_ftd,general_ltv
2025-10-31,Argentina,Diamond,200.0,0.0,0.0
2025-10-31,Ecuador,Roik,9195.0,34.0,270.44117647058823
2025-10-31,Ecuador,X Core,36522.0,46.0,793.9565217391304
2025-10-31,Ecuador,X37,3602.0,22.0,163.72727272727272
2025-10-31,Mexico,Backdoor,250.0,2.0,125.0
2025-10-31,Mexico,Diamond,26769.0,117.0,228.7948717948718
2025-10-31,Mexico,Roik,115.0,1.0,115.0
2025-10-31,Mexico,X Core,22478.0,90.0,249.75555555555556
2025-10-31,Mexico,X37,3659.0,16.0,228.6875
2025-10-31,Ecuador,Nlatam,15020.0,11.0,1365.4545454545455
2025-10-31,Mexico,Xpt,8982.0,33.0,272.1818181818182
2025-10-31,Peru,Digify,6794.0,0.0,0.0
2025-10-31,Peru,Direct,225.0,0.0,0.0
2025-10-31,Peru,Magic,2223.0,0.0,0.0
2025-10-31,Peru,Migration,8106.0,0.0,0.0
2025-10-31,Peru,Paragon,12240.0,0.0,0.0
2025-10-31,Peru,X Core,503.0,0.0,0.0
2025-10-31,Peru,X37,8455.0,25.0,338.2
2025-10-31,Peru,Xpt,7225.0,12.0,602.0833333333334
2025-10-31,Peru,Diamond,301.0,2.0,150.5
2025-10-31,Ecuador,Magic,13685.0,0.0,0.0
2025-10-31,Peru,Backdoor,100.0,1.0,100.0
2025-10-31,Ecuador,Diamond,21405.0,1.0,21405.0
2025-10-31,Ecuador,Golden,700.0,6.0,116.66666666666667
2025-10-31,Argentina,Direct,9301.0,0.0,0.0
2025-10-31,Argentina,Magic,20411.0,0.0,0.0
2025-10-31,Argentina,Paragon,450.0,1.0,450.0
2025-10-31,Argentina,X Core,19350.0,6.0,3225.0
2025-10-31,Colombia,Backdoor,451.0,3.0,150.33333333333334
2025-10-31,Colombia,Diamond,231319.0,12.0,19276.583333333332
2025-10-31,Colombia,Direct,11576.0,0.0,0.0
2025-10-31,Colombia,Golden,498.0,1.0,498.0
2025-10-31,Colombia,Bulk,313.0,0.0,0.0
2025-10-31,Colombia,Meeseeks,141030.0,53.0,2660.943396226415
2025-10-31,Colombia,Migration,66266.0,0.0,0.0
2025-10-31,Colombia,October Media,192.0,0.0,0.0
2025-10-31,Colombia,Paragon,85637.0,0.0,0.0
2025-10-31,Colombia,Roik,10172.0,0.0,0.0
2025-10-31,Colombia,X Core,18450.0,1.0,18450.0
2025-10-31,Colombia,X37,73218.0,63.0,1162.1904761904761
2025-10-31,Colombia,Xpt,4649.0,2.0,2324.5
2025-10-31,Colombia,Magic,2619.0,0.0,0.0
2025-10-31,Costa Rica,Meeseeks,2086.0,0.0,0.0
2025-11-28,Ecuador,Frh,100.0,0.0,0.0
2025-11-28,Ecuador,Xpt,3818.0,18.0,212.11111111111111
2025-11-28,Ecuador,X37,10571.0,0.0,0.0
2025-11-28,Ecuador,X Core,45241.0,35.0,1292.6
2025-11-28,Ecuador,Roik,6500.0,7.0,928.5714285714286
2025-11-28,Ecuador,Golden,1700.0,3.0,566.6666666666666
2025-11-28,Ecuador,Nlatam,68500.0,0.0,0.0
2025-11-28,Ecuador,Magic,13744.0,2.0,6872.0
2025-11-28,Mexico,Bulk,500.0,0.0,0.0
2025-11-28,Ecuador,Paragon,350.0,0.0,0.0
2025-11-28,Mexico,Diamond,84680.0,17.0,4981.176470588235
2025-11-28,Peru,Paragon,7045.0,0.0,0.0
2025-11-28,Mexico,Roik,741.0,0.0,0.0
2025-11-28,Mexico,X Core,50244.0,43.0,1168.4651162790697
2025-11-28,Mexico,X37,6206.0,0.0,0.0
2025-11-28,Mexico,Xpt,15725.0,35.0,449.2857142857143
2025-11-28,Peru,Diamond,12039.0,10.0,1203.9
2025-11-28,Peru,Magic,2048.0,0.0,0.0
2025-11-28,Peru,Meeseeks,2609.0,0.0,0.0
2025-11-28,Peru,Migration,704.0,0.0,0.0
2025-11-28,Peru,X Core,4172.0,24.0,173.83333333333334
2025-11-28,Ecuador,Dm1,2100.0,5.0,420.0
2025-11-28,Mexico,Paragon Q,310.0,0.0,0.0
2025-11-28,Ecuador,Diamond,1428.0,2.0,714.0
2025-11-28,Argentina,Meeseeks,326.0,3.0,108.66666666666667
2025-11-28,Costa Rica,Meeseeks,500.0,0.0,0.0
2025-11-28,Argentina,Backdoor,253.0,1.0,253.0
2025-11-28,Argentina,Direct,18130.0,0.0,0.0
2025-11-28,Argentina,Magic,1663.0,2.0,831.5
2025-11-28,Peru,X37,16357.0,61.0,268.1475409836066
2025-11-28,Argentina,Paragon,4274.0,0.0,0.0
2025-11-28,Argentina,Roik,315.0,2.0,157.5
2025-11-28,Argentina,X Core,22865.0,17.0,1345.0
2025-11-28,Argentina,X37,3434.0,18.0,190.77777777777777
2025-11-28,Colombia,Backdoor,719.0,4.0,179.75
2025-11-28,Colombia,Bulk,2775.0,0.0,0.0
2025-11-28,Colombia,Diamond,237227.0,12.0,19768.916666666668
2025-11-28,Colombia,Direct,13343.0,0.0,0.0
2025-11-28,Colombia,Dm1,250.0,1.0,250.0
2025-11-28,Colombia,Magic,208.0,0.0,0.0
2025-11-28,Colombia,Meeseeks,212677.0,23.0,9246.826086956522
2025-11-28,Colombia,Migration,65425.0,0.0,0.0
2025-11-28,Colombia,Nmigration,1017.0,0.0,0.0
2025-11-28,Colombia,Paragon,48066.0,1.0,48066.0
2025-11-28,Colombia,Paragon Q,56080.0,0.0,0.0
2025-11-28,Colombia,Roik,10647.0,1.0,10647.0
2025-11-28,Colombia,X Core,7363.0,0.0,0.0
2025-11-28,Colombia,X37,52132.0,30.0,1737.7333333333333
2025-11-28,Colombia,Xpt,5229.0,16.0,326.8125
2025-11-28,Ecuador,Backdoor,550.0,4.0,137.5
2025-11-28,Peru,Xpt,5073.0,19.0,267.0
